Equipment Name,Type,Flowrate,Pressure,Temperature
Compressor-1,Compressor,137.1,6.85,136.4
Boiler-2,Boiler,84.3,4.88,97.9
HeatExchanger-3,HeatExchanger,199.1,4.96,131.1
Filter-4,Filter,196.9,5.84,135.8
Compressor-5,Compressor,198.7,9.54,76.2
Valve-6,Valve,51.3,8.82,119.9
Reactor-7,Reactor,184.5,8.28,107.1
Reactor-8,Reactor,78.0,7.67,91.7
Reactor-9,Reactor,110.3,9.88,131.5
Pump-10,Pump,115.8,4.43,140.5
Boiler-11,Boiler,124.3,5.2,144.3
Compressor-12,Compressor,176.7,9.72,150.7
HeatExchanger-13,HeatExchanger,70.4,7.76,159.2
Valve-14,Valve,90.4,6.14,92.3
HeatExchanger-15,HeatExchanger,70.0,5.55,132.8
Filter-16,Filter,78.0,8.69,137.8
Separator-17,Separator,174.3,5.69,140.2
HeatExchanger-18,HeatExchanger,106.9,4.9,95.7
Separator-19,Separator,98.3,6.31,74.9
Filter-20,Filter,73.5,9.16,141.2
Filter-21,Filter,77.8,6.48,150.8
Pump-22,Pump,160.2,5.33,112.2
Pump-23,Pump,187.3,3.94,88.4
Boiler-24,Boiler,145.8,6.39,88.1
Compressor-25,Compressor,48.5,5.08,92.7
Compressor-26,Compressor,116.1,5.35,94.0
Condenser-27,Condenser,48.9,4.58,87.3
HeatExchanger-28,HeatExchanger,131.3,8.56,92.5
Pump-29,Pump,82.2,9.5,149.9
Valve-30,Valve,129.6,7.43,157.9
HeatExchanger-31,HeatExchanger,158.1,6.47,110.2
Separator-32,Separator,65.0,8.67,94.1
HeatExchanger-33,HeatExchanger,43.8,4.88,121.4
Pump-34,Pump,148.4,9.8,138.3
Compressor-35,Compressor,118.9,8.05,83.4
HeatExchanger-36,HeatExchanger,183.3,7.06,143.2
Filter-37,Filter,103.9,7.61,117.8
Boiler-38,Boiler,100.0,5.42,147.2
Filter-39,Filter,86.2,9.84,135.3
Condenser-40,Condenser,197.4,9.84,108.4
Valve-41,Valve,174.1,5.72,135.9
Compressor-42,Compressor,92.3,7.9,83.3
Compressor-43,Compressor,112.3,8.8,147.1
Filter-44,Filter,126.8,5.76,124.1
Valve-45,Valve,133.2,7.67,141.6
Separator-46,Separator,67.4,9.57,119.8
HeatExchanger-47,HeatExchanger,79.3,7.29,111.8
Separator-48,Separator,195.1,6.81,146.5
Reactor-49,Reactor,109.0,4.58,93.9
Separator-50,Separator,134.4,9.56,127.1
Pump-51,Pump,152.5,4.64,150.6
Reactor-52,Reactor,169.2,5.45,83.3
Boiler-53,Boiler,124.3,8.93,90.1
Pump-54,Pump,146.4,4.04,134.2
Reactor-55,Reactor,88.4,9.62,97.5
Condenser-56,Condenser,115.4,4.25,119.5
HeatExchanger-57,HeatExchanger,199.9,4.71,158.7
Condenser-58,Condenser,114.6,8.4,142.1
Compressor-59,Compressor,83.8,4.87,139.4
Pump-60,Pump,179.0,4.23,99.5
HeatExchanger-61,HeatExchanger,102.3,5.98,84.9
Reactor-62,Reactor,75.8,4.22,73.8
Boiler-63,Boiler,109.8,3.85,79.2
Separator-64,Separator,102.7,4.87,97.2
Compressor-65,Compressor,68.5,6.04,103.3
Compressor-66,Compressor,178.9,7.17,90.3
Condenser-67,Condenser,92.9,6.69,73.4
Pump-68,Pump,138.4,5.61,135.4
HeatExchanger-69,HeatExchanger,140.7,8.66,92.0
Compressor-70,Compressor,70.9,3.87,111.9
Compressor-71,Compressor,64.1,5.37,107.8
Condenser-72,Condenser,99.7,9.94,101.3
Boiler-73,Boiler,165.5,4.99,156.5
Boiler-74,Boiler,73.0,7.54,87.0
Compressor-75,Compressor,44.8,9.66,72.9
Valve-76,Valve,198.2,6.42,92.3
Boiler-77,Boiler,174.7,8.01,101.0
Condenser-78,Condenser,77.7,4.73,117.2
Valve-79,Valve,126.0,6.1,129.7
Valve-80,Valve,160.1,9.54,96.7
Valve-81,Valve,125.3,5.5,98.4
Reactor-82,Reactor,154.9,4.48,91.9
Boiler-83,Boiler,81.7,4.61,77.1
Separator-84,Separator,59.4,4.51,140.0
Condenser-85,Condenser,115.4,6.03,114.7
HeatExchanger-86,HeatExchanger,185.0,4.58,82.3
Boiler-87,Boiler,98.6,8.9,102.0
Condenser-88,Condenser,54.4,8.23,84.7
Separator-89,Separator,61.8,6.73,86.9
Separator-90,Separator,143.3,4.37,134.5
Valve-91,Valve,145.9,8.34,144.5
HeatExchanger-92,HeatExchanger,116.2,8.37,121.9
Pump-93,Pump,198.0,6.7,90.9
Filter-94,Filter,111.5,9.95,77.0
Condenser-95,Condenser,108.2,5.7,118.8
Reactor-96,Reactor,197.0,4.43,102.2
Compressor-97,Compressor,43.2,7.35,143.6
Condenser-98,Condenser,166.1,8.71,135.5
HeatExchanger-99,HeatExchanger,146.5,5.58,78.1
Valve-100,Valve,42.2,4.83,119.9
